city,city_key,date,timestamp,lat,lon,current_speed,free_flow_speed,confidence,congestion_level,traffic_index,day_of_week,is_weekend,is_holiday,data_source
Berlin,berlin,2024-01-21,2024-01-21 12:00:00,52.52,13.405,49.0,54.3,0.95,0.164,16.44,6,True,False,synthetic
Berlin,berlin,2024-01-22,2024-01-22 12:00:00,52.52,13.405,39.1,55.7,0.95,0.497,49.7,0,False,False,synthetic
Berlin,berlin,2024-01-23,2024-01-23 12:00:00,52.52,13.405,42.5,55.2,0.95,0.384,38.43,1,False,False,synthetic
Berlin,berlin,2024-01-24,2024-01-24 12:00:00,52.52,13.405,38.7,51.7,0.95,0.417,41.73,2,False,False,synthetic
Berlin,berlin,2024-01-25,2024-01-25 12:00:00,52.52,13.405,39.5,50.8,0.95,0.372,37.19,3,False,False,synthetic
Berlin,berlin,2024-01-26,2024-01-26 12:00:00,52.52,13.405,31.3,50.1,0.95,0.625,62.51,4,False,False,synthetic
Berlin,berlin,2024-01-27,2024-01-27 12:00:00,52.52,13.405,43.9,51.9,0.95,0.258,25.83,5,True,False,synthetic
Berlin,berlin,2024-01-28,2024-01-28 12:00:00,52.52,13.405,44.8,57.1,0.95,0.359,35.87,6,True,False,synthetic
Berlin,berlin,2024-01-29,2024-01-29 12:00:00,52.52,13.405,34.5,58.1,0.95,0.675,67.52,0,False,False,synthetic
Berlin,berlin,2024-01-30,2024-01-30 12:00:00,52.52,13.405,36.3,59.8,0.95,0.654,65.44,1,False,False,synthetic
Berlin,berlin,2024-01-31,2024-01-31 12:00:00,52.52,13.405,40.8,57.7,0.95,0.488,48.82,2,False,False,synthetic
Berlin,berlin,2024-02-01,2024-02-01 12:00:00,52.52,13.405,42.3,58.2,0.95,0.454,45.44,3,False,False,synthetic
Berlin,berlin,2024-02-02,2024-02-02 12:00:00,52.52,13.405,36.0,55.4,0.95,0.585,58.45,4,False,False,synthetic
Berlin,berlin,2024-02-03,2024-02-03 12:00:00,52.52,13.405,39.9,53.4,0.95,0.422,42.17,5,True,False,synthetic
Berlin,berlin,2024-02-04,2024-02-04 12:00:00,52.52,13.405,41.0,52.3,0.95,0.358,35.8,6,True,False,synthetic
Berlin,berlin,2024-02-05,2024-02-05 12:00:00,52.52,13.405,36.8,54.7,0.95,0.545,54.54,0,False,False,synthetic
Berlin,berlin,2024-02-06,2024-02-06 12:00:00,52.52,13.405,33.5,53.2,0.95,0.616,61.63,1,False,False,synthetic
Berlin,berlin,2024-02-07,2024-02-07 12:00:00,52.52,13.405,32.3,50.4,0.95,0.601,60.08,2,False,False,synthetic
Berlin,berlin,2024-02-08,2024-02-08 12:00:00,52.52,13.405,36.4,52.3,0.95,0.507,50.66,3,False,False,synthetic
Berlin,berlin,2024-02-09,2024-02-09 12:00:00,52.52,13.405,30.3,52.2,0.95,0.7,69.99,4,False,False,synthetic
Berlin,berlin,2024-02-10,2024-02-10 12:00:00,52.52,13.405,49.1,57.1,0.95,0.233,23.26,5,True,False,synthetic
Berlin,berlin,2024-02-11,2024-02-11 12:00:00,52.52,13.405,41.3,55.1,0.95,0.418,41.8,6,True,False,synthetic
Berlin,berlin,2024-02-12,2024-02-12 12:00:00,52.52,13.405,33.6,53.3,0.95,0.617,61.66,0,False,False,synthetic
Berlin,berlin,2024-02-13,2024-02-13 12:00:00,52.52,13.405,35.9,55.5,0.95,0.589,58.88,1,False,False,synthetic
Berlin,berlin,2024-02-14,2024-02-14 12:00:00,52.52,13.405,39.3,58.4,0.95,0.546,54.57,2,False,False,synthetic
Berlin,berlin,2024-02-15,2024-02-15 12:00:00,52.52,13.405,36.1,51.3,0.95,0.494,49.39,3,False,False,synthetic
Berlin,berlin,2024-02-16,2024-02-16 12:00:00,52.52,13.405,35.5,59.0,0.95,0.664,66.4,4,False,False,synthetic
Berlin,berlin,2024-02-17,2024-02-17 12:00:00,52.52,13.405,43.1,57.1,0.95,0.409,40.92,5,True,False,synthetic
Berlin,berlin,2024-02-18,2024-02-18 12:00:00,52.52,13.405,45.3,53.6,0.95,0.259,25.89,6,True,False,synthetic
Berlin,berlin,2024-02-19,2024-02-19 12:00:00,52.52,13.405,33.7,56.0,0.95,0.663,66.32,0,False,False,synthetic
Berlin,berlin,2024-02-20,2024-02-20 12:00:00,52.52,13.405,39.5,56.2,0.95,0.495,49.48,1,False,False,synthetic
Berlin,berlin,2024-02-21,2024-02-21 12:00:00,52.52,13.405,43.0,58.8,0.95,0.447,44.68,2,False,False,synthetic
Berlin,berlin,2024-02-22,2024-02-22 12:00:00,52.52,13.405,42.7,59.1,0.95,0.462,46.24,3,False,False,synthetic
Berlin,berlin,2024-02-23,2024-02-23 12:00:00,52.52,13.405,34.1,51.5,0.95,0.565,56.49,4,False,False,synthetic
Berlin,berlin,2024-02-24,2024-02-24 12:00:00,52.52,13.405,41.8,53.6,0.95,0.368,36.77,5,True,False,synthetic
Berlin,berlin,2024-02-25,2024-02-25 12:00:00,52.52,13.405,45.6,57.9,0.95,0.352,35.22,6,True,False,synthetic
Berlin,berlin,2024-02-26,2024-02-26 12:00:00,52.52,13.405,35.8,54.4,0.95,0.571,57.1,0,False,False,synthetic
Berlin,berlin,2024-02-27,2024-02-27 12:00:00,52.52,13.405,34.5,53.5,0.95,0.592,59.21,1,False,False,synthetic
Berlin,berlin,2024-02-28,2024-02-28 12:00:00,52.52,13.405,34.2,52.3,0.95,0.577,57.68,2,False,False,synthetic
Berlin,berlin,2024-02-29,2024-02-29 12:00:00,52.52,13.405,37.5,59.6,0.95,0.618,61.82,3,False,False,synthetic
Berlin,berlin,2024-03-01,2024-03-01 12:00:00,52.52,13.405,33.0,50.1,0.95,0.569,56.95,4,False,False,synthetic
Berlin,berlin,2024-03-02,2024-03-02 12:00:00,52.52,13.405,39.7,50.5,0.95,0.356,35.6,5,True,False,synthetic
Berlin,berlin,2024-03-03,2024-03-03 12:00:00,52.52,13.405,43.1,51.8,0.95,0.28,28.0,6,True,False,synthetic
Berlin,berlin,2024-03-04,2024-03-04 12:00:00,52.52,13.405,36.8,52.4,0.95,0.496,49.56,0,False,False,synthetic
Berlin,berlin,2024-03-05,2024-03-05 12:00:00,52.52,13.405,45.5,59.6,0.95,0.394,39.44,1,False,False,synthetic
Berlin,berlin,2024-03-06,2024-03-06 12:00:00,52.52,13.405,30.9,52.5,0.95,0.686,68.64,2,False,False,synthetic
Berlin,berlin,2024-03-07,2024-03-07 12:00:00,52.52,13.405,40.3,59.7,0.95,0.542,54.19,3,False,False,synthetic
Berlin,berlin,2024-03-08,2024-03-08 12:00:00,52.52,13.405,34.8,52.8,0.95,0.569,56.94,4,False,False,synthetic
Berlin,berlin,2024-03-09,2024-03-09 12:00:00,52.52,13.405,42.8,56.1,0.95,0.394,39.38,5,True,False,synthetic
Berlin,berlin,2024-03-10,2024-03-10 12:00:00,52.52,13.405,45.6,58.7,0.95,0.372,37.21,6,True,False,synthetic
Berlin,berlin,2024-03-11,2024-03-11 12:00:00,52.52,13.405,34.9,56.0,0.95,0.629,62.91,0,False,False,synthetic
Berlin,berlin,2024-03-12,2024-03-12 12:00:00,52.52,13.405,35.6,54.1,0.95,0.571,57.06,1,False,False,synthetic
Berlin,berlin,2024-03-13,2024-03-13 12:00:00,52.52,13.405,37.0,51.9,0.95,0.478,47.83,2,False,False,synthetic
Berlin,berlin,2024-03-14,2024-03-14 12:00:00,52.52,13.405,35.2,50.0,0.95,0.494,49.44,3,False,False,synthetic
Berlin,berlin,2024-03-15,2024-03-15 12:00:00,52.52,13.405,33.0,53.7,0.95,0.643,64.32,4,False,False,synthetic
Berlin,berlin,2024-03-16,2024-03-16 12:00:00,52.52,13.405,43.7,57.1,0.95,0.393,39.31,5,True,False,synthetic
Berlin,berlin,2024-03-17,2024-03-17 12:00:00,52.52,13.405,44.4,56.6,0.95,0.36,36.01,6,True,False,synthetic
Berlin,berlin,2024-03-18,2024-03-18 12:00:00,52.52,13.405,39.2,56.3,0.95,0.508,50.79,0,False,False,synthetic
Berlin,berlin,2024-03-19,2024-03-19 12:00:00,52.52,13.405,36.8,53.9,0.95,0.527,52.7,1,False,False,synthetic
Berlin,berlin,2024-03-20,2024-03-20 12:00:00,52.52,13.405,35.4,55.1,0.95,0.594,59.37,2,False,False,synthetic
Berlin,berlin,2024-03-21,2024-03-21 12:00:00,52.52,13.405,30.8,52.5,0.95,0.69,68.99,3,False,False,synthetic
Berlin,berlin,2024-03-22,2024-03-22 12:00:00,52.52,13.405,36.8,55.1,0.95,0.554,55.35,4,False,False,synthetic
Berlin,berlin,2024-03-23,2024-03-23 12:00:00,52.52,13.405,42.7,59.1,0.95,0.462,46.23,5,True,False,synthetic
Berlin,berlin,2024-03-24,2024-03-24 12:00:00,52.52,13.405,46.0,54.7,0.95,0.265,26.52,6,True,False,synthetic
Berlin,berlin,2024-03-25,2024-03-25 12:00:00,52.52,13.405,31.8,52.8,0.95,0.664,66.37,0,False,False,synthetic
Berlin,berlin,2024-03-26,2024-03-26 12:00:00,52.52,13.405,33.6,52.5,0.95,0.6,60.02,1,False,False,synthetic
Berlin,berlin,2024-03-27,2024-03-27 12:00:00,52.52,13.405,41.2,57.3,0.95,0.469,46.86,2,False,False,synthetic
Berlin,berlin,2024-03-28,2024-03-28 12:00:00,52.52,13.405,37.9,57.9,0.95,0.577,57.68,3,False,False,synthetic
Berlin,berlin,2024-03-29,2024-03-29 12:00:00,52.52,13.405,41.3,52.5,0.95,0.356,35.6,4,False,True,synthetic
Berlin,berlin,2024-03-30,2024-03-30 12:00:00,52.52,13.405,43.2,55.6,0.95,0.371,37.13,5,True,False,synthetic
Berlin,berlin,2024-03-31,2024-03-31 12:00:00,52.52,13.405,54.2,57.6,0.95,0.1,10.0,6,True,True,synthetic
Munich,munich,2024-01-01,2024-01-01 12:00:00,48.1351,11.582,51.7,59.9,0.95,0.226,22.59,0,False,True,synthetic
Munich,munich,2024-01-02,2024-01-02 12:00:00,48.1351,11.582,39.5,57.7,0.95,0.526,52.59,1,False,False,synthetic
Munich,munich,2024-01-03,2024-01-03 12:00:00,48.1351,11.582,38.5,51.3,0.95,0.414,41.43,2,False,False,synthetic
Munich,munich,2024-01-04,2024-01-04 12:00:00,48.1351,11.582,37.6,53.2,0.95,0.489,48.88,3,False,False,synthetic
Munich,munich,2024-01-05,2024-01-05 12:00:00,48.1351,11.582,37.3,58.1,0.95,0.597,59.74,4,False,False,synthetic
Munich,munich,2024-01-06,2024-01-06 12:00:00,48.1351,11.582,49.7,52.8,0.95,0.1,10.0,5,True,True,synthetic
Munich,munich,2024-01-07,2024-01-07 12:00:00,48.1351,11.582,41.4,52.3,0.95,0.348,34.8,6,True,False,synthetic
Munich,munich,2024-01-08,2024-01-08 12:00:00,48.1351,11.582,34.8,55.5,0.95,0.622,62.25,0,False,False,synthetic
Munich,munich,2024-01-09,2024-01-09 12:00:00,48.1351,11.582,35.9,53.7,0.95,0.55,55.02,1,False,False,synthetic
Munich,munich,2024-01-10,2024-01-10 12:00:00,48.1351,11.582,34.3,55.8,0.95,0.643,64.28,2,False,False,synthetic
Munich,munich,2024-01-11,2024-01-11 12:00:00,48.1351,11.582,38.2,57.1,0.95,0.551,55.11,3,False,False,synthetic
Munich,munich,2024-01-12,2024-01-12 12:00:00,48.1351,11.582,27.6,50.5,0.95,0.754,75.39,4,False,False,synthetic
Munich,munich,2024-01-13,2024-01-13 12:00:00,48.1351,11.582,39.6,54.6,0.95,0.46,46.02,5,True,False,synthetic
Munich,munich,2024-01-14,2024-01-14 12:00:00,48.1351,11.582,53.8,59.4,0.95,0.158,15.79,6,True,False,synthetic
Munich,munich,2024-01-15,2024-01-15 12:00:00,48.1351,11.582,37.8,54.7,0.95,0.513,51.32,0,False,False,synthetic
Munich,munich,2024-01-16,2024-01-16 12:00:00,48.1351,11.582,37.1,53.3,0.95,0.507,50.68,1,False,False,synthetic
Munich,munich,2024-01-17,2024-01-17 12:00:00,48.1351,11.582,39.3,55.5,0.95,0.487,48.67,2,False,False,synthetic
Munich,munich,2024-01-18,2024-01-18 12:00:00,48.1351,11.582,29.6,54.6,0.95,0.763,76.35,3,False,False,synthetic
Munich,munich,2024-01-19,2024-01-19 12:00:00,48.1351,11.582,33.7,52.5,0.95,0.597,59.68,4,False,False,synthetic
Munich,munich,2024-01-20,2024-01-20 12:00:00,48.1351,11.582,47.8,57.8,0.95,0.289,28.86,5,True,False,synthetic
Munich,munich,2024-01-21,2024-01-21 12:00:00,48.1351,11.582,41.2,50.1,0.95,0.294,29.37,6,True,False,synthetic
Munich,munich,2024-01-22,2024-01-22 12:00:00,48.1351,11.582,39.1,53.7,0.95,0.453,45.27,0,False,False,synthetic
Munich,munich,2024-01-23,2024-01-23 12:00:00,48.1351,11.582,44.2,59.0,0.95,0.419,41.92,1,False,False,synthetic
Munich,munich,2024-01-24,2024-01-24 12:00:00,48.1351,11.582,36.6,56.4,0.95,0.586,58.62,2,False,False,synthetic
Munich,munich,2024-01-25,2024-01-25 12:00:00,48.1351,11.582,39.4,57.6,0.95,0.528,52.76,3,False,False,synthetic
Munich,munich,2024-01-26,2024-01-26 12:00:00,48.1351,11.582,35.0,56.3,0.95,0.631,63.12,4,False,False,synthetic
Munich,munich,2024-01-27,2024-01-27 12:00:00,48.1351,11.582,45.1,56.7,0.95,0.342,34.15,5,True,False,synthetic
Munich,munich,2024-01-28,2024-01-28 12:00:00,48.1351,11.582,42.5,57.4,0.95,0.432,43.2,6,True,False,synthetic
Munich,munich,2024-01-29,2024-01-29 12:00:00,48.1351,11.582,33.6,52.3,0.95,0.596,59.62,0,False,False,synthetic
Munich,munich,2024-01-30,2024-01-30 12:00:00,48.1351,11.582,33.4,53.1,0.95,0.62,61.95,1,False,False,synthetic
Munich,munich,2024-01-31,2024-01-31 12:00:00,48.1351,11.582,41.5,57.5,0.95,0.464,46.44,2,False,False,synthetic
Munich,munich,2024-02-01,2024-02-01 12:00:00,48.1351,11.582,38.3,58.6,0.95,0.576,57.55,3,False,False,synthetic
Munich,munich,2024-02-02,2024-02-02 12:00:00,48.1351,11.582,32.4,55.0,0.95,0.686,68.57,4,False,False,synthetic
Munich,munich,2024-02-03,2024-02-03 12:00:00,48.1351,11.582,42.7,50.2,0.95,0.246,24.63,5,True,False,synthetic
Munich,munich,2024-02-04,2024-02-04 12:00:00,48.1351,11.582,45.0,53.2,0.95,0.258,25.8,6,True,False,synthetic
Munich,munich,2024-02-05,2024-02-05 12:00:00,48.1351,11.582,36.9,58.3,0.95,0.612,61.2,0,False,False,synthetic
Munich,munich,2024-02-06,2024-02-06 12:00:00,48.1351,11.582,36.5,56.1,0.95,0.581,58.11,1,False,False,synthetic
Munich,munich,2024-02-07,2024-02-07 12:00:00,48.1351,11.582,37.5,55.6,0.95,0.543,54.32,2,False,False,synthetic
Munich,munich,2024-02-08,2024-02-08 12:00:00,48.1351,11.582,34.0,54.9,0.95,0.635,63.46,3,False,False,synthetic
Munich,munich,2024-02-09,2024-02-09 12:00:00,48.1351,11.582,35.2,56.3,0.95,0.623,62.33,4,False,False,synthetic
Munich,munich,2024-02-10,2024-02-10 12:00:00,48.1351,11.582,40.4,50.3,0.95,0.328,32.78,5,True,False,synthetic
Munich,munich,2024-02-11,2024-02-11 12:00:00,48.1351,11.582,47.2,53.7,0.95,0.203,20.27,6,True,False,synthetic
Munich,munich,2024-02-12,2024-02-12 12:00:00,48.1351,11.582,36.2,56.4,0.95,0.598,59.78,0,False,False,synthetic
Munich,munich,2024-02-13,2024-02-13 12:00:00,48.1351,11.582,32.6,50.1,0.95,0.582,58.19,1,False,False,synthetic
Munich,munich,2024-02-14,2024-02-14 12:00:00,48.1351,11.582,36.7,52.3,0.95,0.499,49.88,2,False,False,synthetic
Munich,munich,2024-02-15,2024-02-15 12:00:00,48.1351,11.582,34.1,54.6,0.95,0.626,62.59,3,False,False,synthetic
Munich,munich,2024-02-16,2024-02-16 12:00:00,48.1351,11.582,39.8,55.1,0.95,0.461,46.08,4,False,False,synthetic
Munich,munich,2024-02-17,2024-02-17 12:00:00,48.1351,11.582,40.3,58.1,0.95,0.511,51.09,5,True,False,synthetic
Munich,munich,2024-02-18,2024-02-18 12:00:00,48.1351,11.582,44.1,53.4,0.95,0.29,29.01,6,True,False,synthetic
Munich,munich,2024-02-19,2024-02-19 12:00:00,48.1351,11.582,40.4,59.1,0.95,0.528,52.84,0,False,False,synthetic
Munich,munich,2024-02-20,2024-02-20 12:00:00,48.1351,11.582,36.8,50.2,0.95,0.445,44.47,1,False,False,synthetic
Munich,munich,2024-02-21,2024-02-21 12:00:00,48.1351,11.582,38.2,55.2,0.95,0.512,51.18,2,False,False,synthetic
Munich,munich,2024-02-22,2024-02-22 12:00:00,48.1351,11.582,32.5,52.8,0.95,0.641,64.05,3,False,False,synthetic
Munich,munich,2024-02-23,2024-02-23 12:00:00,48.1351,11.582,38.9,56.7,0.95,0.522,52.23,4,False,False,synthetic
Munich,munich,2024-02-24,2024-02-24 12:00:00,48.1351,11.582,44.1,53.6,0.95,0.294,29.45,5,True,False,synthetic
Munich,munich,2024-02-25,2024-02-25 12:00:00,48.1351,11.582,49.2,57.1,0.95,0.232,23.17,6,True,False,synthetic
Munich,munich,2024-02-26,2024-02-26 12:00:00,48.1351,11.582,35.1,59.0,0.95,0.674,67.41,0,False,False,synthetic
Munich,munich,2024-02-27,2024-02-27 12:00:00,48.1351,11.582,29.5,53.1,0.95,0.741,74.13,1,False,False,synthetic
Munich,munich,2024-02-28,2024-02-28 12:00:00,48.1351,11.582,32.1,54.3,0.95,0.68,68.02,2,False,False,synthetic
Munich,munich,2024-02-29,2024-02-29 12:00:00,48.1351,11.582,35.8,57.2,0.95,0.623,62.29,3,False,False,synthetic
Munich,munich,2024-03-01,2024-03-01 12:00:00,48.1351,11.582,39.9,59.9,0.95,0.556,55.55,4,False,False,synthetic
Munich,munich,2024-03-02,2024-03-02 12:00:00,48.1351,11.582,43.3,53.5,0.95,0.317,31.72,5,True,False,synthetic
Munich,munich,2024-03-03,2024-03-03 12:00:00,48.1351,11.582,40.7,51.2,0.95,0.341,34.08,6,True,False,synthetic
Munich,munich,2024-03-04,2024-03-04 12:00:00,48.1351,11.582,34.6,56.5,0.95,0.646,64.6,0,False,False,synthetic
Munich,munich,2024-03-05,2024-03-05 12:00:00,48.1351,11.582,41.9,57.6,0.95,0.454,45.43,1,False,False,synthetic
Munich,munich,2024-03-06,2024-03-06 12:00:00,48.1351,11.582,34.9,52.3,0.95,0.555,55.51,2,False,False,synthetic
Munich,munich,2024-03-07,2024-03-07 12:00:00,48.1351,11.582,35.4,55.1,0.95,0.598,59.75,3,False,False,synthetic
Munich,munich,2024-03-08,2024-03-08 12:00:00,48.1351,11.582,35.7,60.0,0.95,0.676,67.56,4,False,False,synthetic
Munich,munich,2024-03-09,2024-03-09 12:00:00,48.1351,11.582,38.8,55.8,0.95,0.507,50.7,5,True,False,synthetic
Munich,munich,2024-03-10,2024-03-10 12:00:00,48.1351,11.582,45.2,54.5,0.95,0.283,28.3,6,True,False,synthetic
Munich,munich,2024-03-11,2024-03-11 12:00:00,48.1351,11.582,37.1,59.6,0.95,0.63,63.03,0,False,False,synthetic
Munich,munich,2024-03-12,2024-03-12 12:00:00,48.1351,11.582,32.7,55.3,0.95,0.682,68.2,1,False,False,synthetic
Munich,munich,2024-03-13,2024-03-13 12:00:00,48.1351,11.582,35.2,50.0,0.95,0.494,49.45,2,False,False,synthetic
Munich,munich,2024-03-14,2024-03-14 12:00:00,48.1351,11.582,42.5,58.8,0.95,0.462,46.18,3,False,False,synthetic
Munich,munich,2024-03-15,2024-03-15 12:00:00,48.1351,11.582,31.9,56.0,0.95,0.717,71.73,4,False,False,synthetic
Munich,munich,2024-03-16,2024-03-16 12:00:00,48.1351,11.582,38.6,51.0,0.95,0.403,40.31,5,True,False,synthetic
Munich,munich,2024-03-17,2024-03-17 12:00:00,48.1351,11.582,40.3,53.1,0.95,0.402,40.17,6,True,False,synthetic
Munich,munich,2024-03-18,2024-03-18 12:00:00,48.1351,11.582,27.3,50.3,0.95,0.762,76.2,0,False,False,synthetic
Munich,munich,2024-03-19,2024-03-19 12:00:00,48.1351,11.582,30.3,51.5,0.95,0.686,68.6,1,False,False,synthetic
Munich,munich,2024-03-20,2024-03-20 12:00:00,48.1351,11.582,37.7,54.1,0.95,0.506,50.61,2,False,False,synthetic
Munich,munich,2024-03-21,2024-03-21 12:00:00,48.1351,11.582,37.2,59.6,0.95,0.626,62.64,3,False,False,synthetic
Munich,munich,2024-03-22,2024-03-22 12:00:00,48.1351,11.582,31.5,55.8,0.95,0.727,72.67,4,False,False,synthetic
Munich,munich,2024-03-23,2024-03-23 12:00:00,48.1351,11.582,47.0,58.6,0.95,0.328,32.77,5,True,False,synthetic
Munich,munich,2024-03-24,2024-03-24 12:00:00,48.1351,11.582,48.8,59.2,0.95,0.294,29.43,6,True,False,synthetic
Munich,munich,2024-03-25,2024-03-25 12:00:00,48.1351,11.582,40.3,58.0,0.95,0.509,50.94,0,False,False,synthetic
Munich,munich,2024-03-26,2024-03-26 12:00:00,48.1351,11.582,33.5,55.2,0.95,0.655,65.48,1,False,False,synthetic
Munich,munich,2024-03-27,2024-03-27 12:00:00,48.1351,11.582,34.4,57.2,0.95,0.665,66.47,2,False,False,synthetic
Munich,munich,2024-03-28,2024-03-28 12:00:00,48.1351,11.582,32.2,51.7,0.95,0.629,62.88,3,False,False,synthetic
Munich,munich,2024-03-29,2024-03-29 12:00:00,48.1351,11.582,41.9,59.5,0.95,0.491,49.14,4,False,True,synthetic
Munich,munich,2024-03-30,2024-03-30 12:00:00,48.1351,11.582,38.3,52.1,0.95,0.441,44.09,5,True,False,synthetic
Munich,munich,2024-03-31,2024-03-31 12:00:00,48.1351,11.582,47.8,50.9,0.95,0.1,10.0,6,True,True,synthetic
Hamburg,hamburg,2024-01-01,2024-01-01 12:00:00,53.5511,10.0,49.6,55.7,0.95,0.183,18.29,0,False,True,synthetic
Hamburg,hamburg,2024-01-02,2024-01-02 12:00:00,53.5511,10.0,43.8,56.4,0.95,0.371,37.09,1,False,False,synthetic
Hamburg,hamburg,2024-01-03,2024-01-03 12:00:00,53.5511,10.0,38.2,52.4,0.95,0.451,45.15,2,False,False,synthetic
Hamburg,hamburg,2024-01-04,2024-01-04 12:00:00,53.5511,10.0,43.0,55.0,0.95,0.362,36.23,3,False,False,synthetic
Hamburg,hamburg,2024-01-05,2024-01-05 12:00:00,53.5511,10.0,43.4,57.7,0.95,0.412,41.16,4,False,False,synthetic
Hamburg,hamburg,2024-01-06,2024-01-06 12:00:00,53.5511,10.0,48.5,51.6,0.95,0.1,10.0,5,True,True,synthetic
Hamburg,hamburg,2024-01-07,2024-01-07 12:00:00,53.5511,10.0,46.8,53.8,0.95,0.217,21.68,6,True,False,synthetic
Hamburg,hamburg,2024-01-08,2024-01-08 12:00:00,53.5511,10.0,33.2,58.2,0.95,0.715,71.55,0,False,False,synthetic
Hamburg,hamburg,2024-01-09,2024-01-09 12:00:00,53.5511,10.0,37.6,56.7,0.95,0.561,56.06,1,False,False,synthetic
Hamburg,hamburg,2024-01-10,2024-01-10 12:00:00,53.5511,10.0,44.1,55.1,0.95,0.332,33.24,2,False,False,synthetic
Hamburg,hamburg,2024-01-11,2024-01-11 12:00:00,53.5511,10.0,36.1,54.5,0.95,0.562,56.25,3,False,False,synthetic
Hamburg,hamburg,2024-01-12,2024-01-12 12:00:00,53.5511,10.0,34.3,50.5,0.95,0.532,53.21,4,False,False,synthetic
Hamburg,hamburg,2024-01-13,2024-01-13 12:00:00,53.5511,10.0,41.6,52.7,0.95,0.352,35.17,5,True,False,synthetic
Hamburg,hamburg,2024-01-14,2024-01-14 12:00:00,53.5511,10.0,49.5,54.7,0.95,0.159,15.87,6,True,False,synthetic
Hamburg,hamburg,2024-01-15,2024-01-15 12:00:00,53.5511,10.0,38.3,50.6,0.95,0.405,40.5,0,False,False,synthetic
Hamburg,hamburg,2024-01-16,2024-01-16 12:00:00,53.5511,10.0,38.9,57.7,0.95,0.543,54.28,1,False,False,synthetic
Hamburg,hamburg,2024-01-17,2024-01-17 12:00:00,53.5511,10.0,36.6,56.1,0.95,0.579,57.94,2,False,False,synthetic
Hamburg,hamburg,2024-01-18,2024-01-18 12:00:00,53.5511,10.0,38.1,51.4,0.95,0.432,43.21,3,False,False,synthetic
Hamburg,hamburg,2024-01-19,2024-01-19 12:00:00,53.5511,10.0,45.0,58.5,0.95,0.384,38.43,4,False,False,synthetic
Hamburg,hamburg,2024-01-20,2024-01-20 12:00:00,53.5511,10.0,46.4,59.9,0.95,0.375,37.46,5,True,False,synthetic
Hamburg,hamburg,2024-01-21,2024-01-21 12:00:00,53.5511,10.0,53.0,56.4,0.95,0.1,10.0,6,True,False,synthetic
Hamburg,hamburg,2024-01-22,2024-01-22 12:00:00,53.5511,10.0,37.3,51.1,0.95,0.451,45.08,0,False,False,synthetic
