city,city_key,date,timestamp,lat,lon,current_speed,free_flow_speed,confidence,congestion_level,traffic_index
Gelsenkirchen,gelsenkirchen,2024-01-01,2026-01-12 15:52:24.621160,51.5177,7.0857,26,37,1.0,0.29729729729729726,29.729729729729726
Mönchengladbach,mönchengladbach,2024-01-01,2026-01-12 15:52:25.311580,51.1805,6.4428,21,33,1.0,0.36363636363636365,36.36363636363637
Braunschweig,braunschweig,2024-01-01,2026-01-12 15:52:25.987695,52.2689,10.5268,20,20,1.0,0.0,0.0
Chemnitz,chemnitz,2024-01-01,2026-01-12 15:52:26.647712,50.8278,12.9214,18,24,1.0,0.25,25.0
Kiel,kiel,2024-01-01,2026-01-12 15:52:27.311594,54.3233,10.1394,20,26,0.97,0.23076923076923073,23.076923076923073
Aachen,aachen,2024-01-01,2026-01-12 15:52:27.981992,50.7753,6.0839,12,18,0.918834,0.33333333333333337,33.333333333333336
Halle,halle,2024-01-01,2026-01-12 15:52:28.624674,51.4826,11.9692,15,57,1.0,0.736842105263158,73.6842105263158
Magdeburg,magdeburg,2024-01-01,2026-01-12 15:52:29.299452,52.1205,11.6276,15,27,0.923476,0.4444444444444444,44.44444444444444
Freiburg,freiburg,2024-01-01,2026-01-12 15:52:29.929681,47.9978,7.8427,22,30,1.0,0.2666666666666667,26.66666666666667
Krefeld,krefeld,2024-01-01,2026-01-12 15:52:30.578558,51.3392,6.5861,17,30,0.999241,0.43333333333333335,43.333333333333336
Lübeck,lübeck,2024-01-01,2026-01-12 15:52:31.217026,53.8655,10.6866,19,27,0.952323,0.2962962962962963,29.629629629629626
Oberhausen,oberhausen,2024-01-01,2026-01-12 15:52:31.894251,51.473,6.8807,28,36,0.945411,0.2222222222222222,22.22222222222222
Erfurt,erfurt,2024-01-01,2026-01-12 15:52:32.532401,50.9848,11.0299,24,34,1.0,0.2941176470588235,29.411764705882348
Mainz,mainz,2024-01-01,2026-01-12 15:52:33.179374,50.0012,8.2763,23,23,1.0,0.0,0.0
Rostock,rostock,2024-01-01,2026-01-12 15:52:33.851191,54.0924,12.0991,37,48,1.0,0.22916666666666663,22.916666666666664
Kassel,kassel,2024-01-01,2026-01-12 15:52:34.513621,51.3127,9.4797,27,34,1.0,0.20588235294117652,20.588235294117652
Hagen,hagen,2024-01-01,2026-01-12 15:52:35.215087,51.3671,7.4633,29,38,0.985867,0.23684210526315785,23.684210526315784
Hamm,hamm,2024-01-01,2026-01-12 15:52:35.870848,51.6739,7.816,19,29,1.0,0.3448275862068966,34.48275862068966
Saarbrücken,saarbrücken,2024-01-01,2026-01-12 15:52:36.533985,49.2402,7.0097,25,34,0.992888,0.2647058823529411,26.470588235294112
Mülheim an der Ruhr,mülheim,2024-01-01,2026-01-12 15:52:37.202795,51.4314,6.8807,34,41,1.0,0.1707317073170732,17.07317073170732
Potsdam,potsdam,2024-01-01,2026-01-12 15:52:37.844247,52.3906,13.0645,21,21,1.0,0.0,0.0
Ludwigshafen,ludwigshafen,2024-01-01,2026-01-12 15:52:38.531244,49.4812,8.4462,12,21,1.0,0.4285714285714286,42.85714285714286
Oldenburg,oldenburg,2024-01-01,2026-01-12 15:52:39.150128,53.1435,8.2146,19,25,1.0,0.24,24.0
Leverkusen,leverkusen,2024-01-01,2026-01-12 15:52:39.804852,51.0303,6.9843,19,30,1.0,0.3666666666666667,36.66666666666667
Osnabrück,osnabrück,2024-01-01,2026-01-12 15:52:40.445759,52.2799,8.0472,27,37,1.0,0.2702702702702703,27.027027027027028
Solingen,solingen,2024-01-01,2026-01-12 15:52:41.077323,51.1714,7.0833,18,35,1.0,0.48571428571428577,48.57142857142858
Heidelberg,heidelberg,2024-01-01,2026-01-12 15:52:41.721999,49.3988,8.6724,32,43,1.0,0.2558139534883721,25.581395348837212
Herne,herne,2024-01-01,2026-01-12 15:52:42.388962,51.5369,7.226,31,39,0.99368,0.20512820512820518,20.512820512820518
Neuss,neuss,2024-01-01,2026-01-12 15:52:43.029575,51.2042,6.6879,31,40,1.0,0.22499999999999998,22.499999999999996
Darmstadt,darmstadt,2024-01-01,2026-01-12 15:52:43.723118,49.8728,8.6512,35,35,1.0,0.0,0.0
Paderborn,paderborn,2024-01-01,2026-01-12 15:52:44.359958,51.7189,8.757,25,32,1.0,0.21875,21.875
Regensburg,regensburg,2024-01-01,2026-01-12 15:52:45.009590,49.0134,12.1016,24,24,1.0,0.0,0.0
Ingolstadt,ingolstadt,2024-01-01,2026-01-12 15:52:45.648300,48.7665,11.4258,19,31,1.0,0.3870967741935484,38.70967741935484
Würzburg,würzburg,2024-01-01,2026-01-12 15:52:46.303802,49.7913,9.9534,26,38,0.967426,0.3157894736842105,31.57894736842105
Fürth,fürth,2024-01-01,2026-01-12 15:52:47.024897,49.4771,10.9887,9,25,1.0,0.64,64.0
Wolfsburg,wolfsburg,2024-01-01,2026-01-12 15:52:47.666531,52.4226,10.7865,40,47,1.0,0.14893617021276595,14.893617021276595
Offenbach,offenbach,2024-01-01,2026-01-12 15:52:48.301468,50.1036,8.766,15,23,1.0,0.34782608695652173,34.78260869565217
Ulm,ulm,2024-01-01,2026-01-12 15:52:48.948783,48.4011,9.9876,45,51,0.997971,0.11764705882352944,11.764705882352944
Heilbronn,heilbronn,2024-01-01,2026-01-12 15:52:49.620854,49.1427,9.2109,13,19,1.0,0.3157894736842105,31.57894736842105
Pforzheim,pforzheim,2024-01-01,2026-01-12 15:52:50.239119,48.8932,8.6919,37,37,1.0,0.0,0.0
Göttingen,göttingen,2024-01-01,2026-01-12 15:52:50.915664,51.5413,9.9158,55,60,0.867827,0.08333333333333337,8.333333333333337
Bottrop,bottrop,2024-01-01,2026-01-12 15:52:51.547899,51.5232,6.9253,28,39,1.0,0.28205128205128205,28.205128205128204
Trier,trier,2024-01-01,2026-01-12 15:52:52.270470,49.7499,6.6371,19,28,1.0,0.3214285714285714,32.14285714285714
Recklinghausen,recklinghausen,2024-01-01,2026-01-12 15:52:52.941358,51.6144,7.1979,16,25,1.0,0.36,36.0
Reutlingen,reutlingen,2024-01-01,2026-01-12 15:52:53.583881,48.4914,9.2115,20,29,1.0,0.31034482758620685,31.034482758620683
Bremerhaven,bremerhaven,2024-01-01,2026-01-12 15:52:54.225834,53.5396,8.5809,27,39,1.0,0.3076923076923077,30.76923076923077
Koblenz,koblenz,2024-01-01,2026-01-12 15:52:54.847728,50.3569,7.589,64,64,1.0,0.0,0.0
Bergisch Gladbach,bergisch_gladbach,2024-01-01,2026-01-12 15:52:55.510087,50.9916,7.1233,31,31,1.0,0.0,0.0
Jena,jena,2024-01-01,2026-01-12 15:52:56.199138,50.9271,11.5862,24,32,0.991853,0.25,25.0
Remscheid,remscheid,2024-01-01,2026-01-12 15:52:56.874244,51.1784,7.1997,29,41,1.0,0.29268292682926833,29.268292682926834
Erlangen,erlangen,2024-01-01,2026-01-12 15:52:57.550298,49.5897,11.0039,35,42,1.0,0.16666666666666663,16.666666666666664
Moers,moers,2024-01-01,2026-01-12 15:52:58.238505,51.4514,6.6314,33,39,0.992801,0.15384615384615385,15.384615384615385
Siegen,siegen,2024-01-01,2026-01-12 15:52:58.901791,50.875,8.0167,16,21,0.831058,0.23809523809523814,23.809523809523814
Hildesheim,hildesheim,2024-01-01,2026-01-12 15:52:59.550004,52.1508,9.9513,12,28,1.0,0.5714285714285714,57.14285714285714
Salzgitter,salzgitter,2024-01-01,2026-01-12 15:53:00.209622,52.15,10.3333,21,31,1.0,0.32258064516129037,32.25806451612904
Berlin,berlin,2024-01-02,2026-01-12 15:53:00.857024,52.52,13.405,14,20,1.0,0.30000000000000004,30.000000000000004
Munich,munich,2024-01-02,2026-01-12 15:53:01.508932,48.1351,11.582,20,31,1.0,0.3548387096774194,35.483870967741936
Hamburg,hamburg,2024-01-02,2026-01-12 15:53:02.426539,53.5511,10.0,26,41,1.0,0.36585365853658536,36.58536585365854
Cologne,cologne,2024-01-02,2026-01-12 15:53:03.101740,50.9375,6.9603,32,36,1.0,0.11111111111111116,11.111111111111116
Frankfurt am Main,frankfurt,2024-01-02,2026-01-12 15:53:03.774033,50.1109,8.6821,21,27,1.0,0.2222222222222222,22.22222222222222
Stuttgart,stuttgart,2024-01-02,2026-01-12 15:53:04.463042,48.7758,9.1829,26,33,1.0,0.21212121212121215,21.212121212121215
Düsseldorf,dusseldorf,2024-01-02,2026-01-12 15:53:05.129061,51.2277,6.7735,49,49,1.0,0.0,0.0
Dortmund,dortmund,2024-01-02,2026-01-12 15:53:05.821967,51.5136,7.4653,17,27,1.0,0.37037037037037035,37.03703703703704
Essen,essen,2024-01-02,2026-01-12 15:53:06.505547,51.4556,7.0116,24,34,0.942005,0.2941176470588235,29.411764705882348
Leipzig,leipzig,2024-01-02,2026-01-12 15:53:07.162214,51.3397,12.3731,23,31,1.0,0.25806451612903225,25.806451612903224
Bremen,bremen,2024-01-02,2026-01-12 15:53:07.833948,53.0793,8.8017,23,23,1.0,0.0,0.0
Dresden,dresden,2024-01-02,2026-01-12 15:53:08.528956,51.0504,13.7373,14,22,0.99,0.36363636363636365,36.36363636363637
Hanover,hanover,2024-01-02,2026-01-12 15:53:09.203492,52.3759,9.732,24,24,1.0,0.0,0.0
Nuremberg,nuremberg,2024-01-02,2026-01-12 15:53:09.889619,49.4521,11.0767,22,30,1.0,0.2666666666666667,26.66666666666667
Duisburg,duisburg,2024-01-02,2026-01-12 15:53:10.600255,51.4344,6.7623,25,34,1.0,0.2647058823529411,26.470588235294112
Bochum,bochum,2024-01-02,2026-01-12 15:53:11.239249,51.4818,7.2162,12,20,1.0,0.4,40.0
Wuppertal,wuppertal,2024-01-02,2026-01-12 15:53:11.928458,51.2562,7.1508,30,41,1.0,0.2682926829268293,26.82926829268293
Bielefeld,bielefeld,2024-01-02,2026-01-12 15:53:12.577535,52.02,8.5325,24,24,1.0,0.0,0.0
Bonn,bonn,2024-01-02,2026-01-12 15:53:13.198953,50.7374,7.0982,18,25,0.994812,0.28,28.000000000000004
Münster,munster,2024-01-02,2026-01-12 15:53:13.840670,51.9607,7.6261,24,31,1.0,0.22580645161290325,22.580645161290324
Karlsruhe,karlsruhe,2024-01-02,2026-01-12 15:53:14.487982,49.0069,8.4037,20,20,1.0,0.0,0.0
Mannheim,mannheim,2024-01-02,2026-01-12 15:53:15.124826,49.4875,8.466,14,27,1.0,0.4814814814814815,48.14814814814815
Augsburg,augsburg,2024-01-02,2026-01-12 15:53:15.777597,48.3668,10.8987,23,33,0.999096,0.303030303030303,30.303030303030297
Wiesbaden,wiesbaden,2024-01-02,2026-01-12 15:53:16.425128,50.0782,8.2398,15,24,1.0,0.375,37.5
Gelsenkirchen,gelsenkirchen,2024-01-02,2026-01-12 15:53:17.115470,51.5177,7.0857,26,37,1.0,0.29729729729729726,29.729729729729726
Mönchengladbach,mönchengladbach,2024-01-02,2026-01-12 15:53:17.765531,51.1805,6.4428,20,32,1.0,0.375,37.5
Braunschweig,braunschweig,2024-01-02,2026-01-12 15:53:18.445103,52.2689,10.5268,20,20,1.0,0.0,0.0
Chemnitz,chemnitz,2024-01-02,2026-01-12 15:53:19.100433,50.8278,12.9214,19,25,1.0,0.24,24.0
Kiel,kiel,2024-01-02,2026-01-12 15:53:19.765490,54.3233,10.1394,20,26,0.97,0.23076923076923073,23.076923076923073
Aachen,aachen,2024-01-02,2026-01-12 15:53:20.420687,50.7753,6.0839,13,19,0.946451,0.3157894736842105,31.57894736842105
Halle,halle,2024-01-02,2026-01-12 15:53:21.147428,51.4826,11.9692,14,59,1.0,0.7627118644067796,76.27118644067797
Magdeburg,magdeburg,2024-01-02,2026-01-12 15:53:21.815021,52.1205,11.6276,16,28,0.923476,0.4285714285714286,42.85714285714286
Freiburg,freiburg,2024-01-02,2026-01-12 15:53:22.447467,47.9978,7.8427,24,29,1.0,0.1724137931034483,17.24137931034483
Krefeld,krefeld,2024-01-02,2026-01-12 15:53:23.161415,51.3392,6.5861,17,30,0.996305,0.43333333333333335,43.333333333333336
Lübeck,lübeck,2024-01-02,2026-01-12 15:53:23.807420,53.8655,10.6866,19,27,0.945744,0.2962962962962963,29.629629629629626
Oberhausen,oberhausen,2024-01-02,2026-01-12 15:53:24.458423,51.473,6.8807,28,36,0.942075,0.2222222222222222,22.22222222222222
Erfurt,erfurt,2024-01-02,2026-01-12 15:53:25.106842,50.9848,11.0299,23,34,1.0,0.32352941176470584,32.35294117647059
Mainz,mainz,2024-01-02,2026-01-12 15:53:25.763925,50.0012,8.2763,23,23,1.0,0.0,0.0
Rostock,rostock,2024-01-02,2026-01-12 15:53:26.405980,54.0924,12.0991,38,49,1.0,0.22448979591836737,22.44897959183674
Kassel,kassel,2024-01-02,2026-01-12 15:53:27.080922,51.3127,9.4797,26,35,1.0,0.2571428571428571,25.71428571428571
Hagen,hagen,2024-01-02,2026-01-12 15:53:27.742449,51.3671,7.4633,29,38,0.985164,0.23684210526315785,23.684210526315784
Hamm,hamm,2024-01-02,2026-01-12 15:53:28.435378,51.6739,7.816,19,29,1.0,0.3448275862068966,34.48275862068966
Saarbrücken,saarbrücken,2024-01-02,2026-01-12 15:53:29.099831,49.2402,7.0097,26,35,0.994447,0.2571428571428571,25.71428571428571
Mülheim an der Ruhr,mülheim,2024-01-02,2026-01-12 15:53:29.760007,51.4314,6.8807,33,42,1.0,0.2142857142857143,21.42857142857143
Potsdam,potsdam,2024-01-02,2026-01-12 15:53:30.423640,52.3906,13.0645,21,21,1.0,0.0,0.0
Ludwigshafen,ludwigshafen,2024-01-02,2026-01-12 15:53:31.104894,49.4812,8.4462,13,22,1.0,0.40909090909090906,40.90909090909091
Oldenburg,oldenburg,2024-01-02,2026-01-12 15:53:31.766222,53.1435,8.2146,19,24,1.0,0.20833333333333337,20.833333333333336
Leverkusen,leverkusen,2024-01-02,2026-01-12 15:53:32.437123,51.0303,6.9843,19,30,1.0,0.3666666666666667,36.66666666666667
Osnabrück,osnabrück,2024-01-02,2026-01-12 15:53:33.137568,52.2799,8.0472,26,36,1.0,0.2777777777777778,27.77777777777778
Solingen,solingen,2024-01-02,2026-01-12 15:53:33.799864,51.1714,7.0833,16,35,1.0,0.5428571428571429,54.28571428571429
Heidelberg,heidelberg,2024-01-02,2026-01-12 15:53:34.513234,49.3988,8.6724,31,43,1.0,0.2790697674418605,27.906976744186053
Herne,herne,2024-01-02,2026-01-12 15:53:35.253623,51.5369,7.226,31,39,0.994525,0.20512820512820518,20.512820512820518
Neuss,neuss,2024-01-02,2026-01-12 15:53:35.933786,51.2042,6.6879,31,39,1.0,0.20512820512820518,20.512820512820518
Darmstadt,darmstadt,2024-01-02,2026-01-12 15:53:36.570533,49.8728,8.6512,35,35,1.0,0.0,0.0
Paderborn,paderborn,2024-01-02,2026-01-12 15:53:37.233847,51.7189,8.757,26,32,1.0,0.1875,18.75
Regensburg,regensburg,2024-01-02,2026-01-12 15:53:37.905111,49.0134,12.1016,24,24,1.0,0.0,0.0
Ingolstadt,ingolstadt,2024-01-02,2026-01-12 15:53:38.555311,48.7665,11.4258,19,32,1.0,0.40625,40.625
Würzburg,würzburg,2024-01-02,2026-01-12 15:53:39.190946,49.7913,9.9534,29,38,0.967004,0.23684210526315785,23.684210526315784
Fürth,fürth,2024-01-02,2026-01-12 15:53:39.836435,49.4771,10.9887,9,22,1.0,0.5909090909090908,59.09090909090908
Wolfsburg,wolfsburg,2024-01-02,2026-01-12 15:53:40.498692,52.4226,10.7865,39,47,1.0,0.17021276595744683,17.021276595744684
Offenbach,offenbach,2024-01-02,2026-01-12 15:53:41.182708,50.1036,8.766,16,23,1.0,0.30434782608695654,30.434782608695656
Ulm,ulm,2024-01-02,2026-01-12 15:53:41.855026,48.4011,9.9876,45,51,0.997971,0.11764705882352944,11.764705882352944
Heilbronn,heilbronn,2024-01-02,2026-01-12 15:53:42.560844,49.1427,9.2109,13,19,1.0,0.3157894736842105,31.57894736842105
Pforzheim,pforzheim,2024-01-02,2026-01-12 15:53:43.215832,48.8932,8.6919,37,37,1.0,0.0,0.0
Göttingen,göttingen,2024-01-02,2026-01-12 15:53:43.880153,51.5413,9.9158,56,60,0.869544,0.06666666666666665,6.666666666666665
Bottrop,bottrop,2024-01-02,2026-01-12 15:53:44.549416,51.5232,6.9253,29,39,1.0,0.2564102564102564,25.64102564102564
Trier,trier,2024-01-02,2026-01-12 15:53:45.197958,49.7499,6.6371,19,28,1.0,0.3214285714285714,32.14285714285714
Recklinghausen,recklinghausen,2024-01-02,2026-01-12 15:53:45.869454,51.6144,7.1979,16,25,1.0,0.36,36.0
Reutlingen,reutlingen,2024-01-02,2026-01-12 15:53:46.512375,48.4914,9.2115,20,29,1.0,0.31034482758620685,31.034482758620683
Bremerhaven,bremerhaven,2024-01-02,2026-01-12 15:53:47.220151,53.5396,8.5809,27,39,1.0,0.3076923076923077,30.76923076923077
Koblenz,koblenz,2024-01-02,2026-01-12 15:53:47.859224,50.3569,7.589,64,64,1.0,0.0,0.0
Bergisch Gladbach,bergisch_gladbach,2024-01-02,2026-01-12 15:53:48.531218,50.9916,7.1233,31,31,1.0,0.0,0.0
Jena,jena,2024-01-02,2026-01-12 15:53:49.184390,50.9271,11.5862,25,33,0.987426,0.24242424242424243,24.242424242424242
Remscheid,remscheid,2024-01-02,2026-01-12 15:53:49.824521,51.1784,7.1997,28,41,1.0,0.31707317073170727,31.707317073170728
Erlangen,erlangen,2024-01-02,2026-01-12 15:53:50.486011,49.5897,11.0039,35,42,1.0,0.16666666666666663,16.666666666666664
Moers,moers,2024-01-02,2026-01-12 15:53:51.142926,51.4514,6.6314,32,38,0.993916,0.1578947368421053,15.789473684210531
Siegen,siegen,2024-01-02,2026-01-12 15:53:51.790074,50.875,8.0167,16,22,0.767147,0.2727272727272727,27.27272727272727
Hildesheim,hildesheim,2024-01-02,2026-01-12 15:53:52.438433,52.1508,9.9513,11,27,1.0,0.5925925925925926,59.25925925925925
Salzgitter,salzgitter,2024-01-02,2026-01-12 15:53:53.126717,52.15,10.3333,21,31,1.0,0.32258064516129037,32.25806451612904
Berlin,berlin,2024-01-03,2026-01-12 15:53:53.758094,52.52,13.405,16,21,1.0,0.23809523809523814,23.809523809523814
Munich,munich,2024-01-03,2026-01-12 15:53:54.396923,48.1351,11.582,19,31,1.0,0.3870967741935484,38.70967741935484
Hamburg,hamburg,2024-01-03,2026-01-12 15:53:55.042320,53.5511,10.0,24,42,1.0,0.4285714285714286,42.85714285714286
Cologne,cologne,2024-01-03,2026-01-12 15:53:55.727222,50.9375,6.9603,32,36,1.0,0.11111111111111116,11.111111111111116
Frankfurt am Main,frankfurt,2024-01-03,2026-01-12 15:53:56.407776,50.1109,8.6821,21,27,1.0,0.2222222222222222,22.22222222222222
Stuttgart,stuttgart,2024-01-03,2026-01-12 15:53:57.121426,48.7758,9.1829,27,33,1.0,0.18181818181818177,18.181818181818176
Düsseldorf,dusseldorf,2024-01-03,2026-01-12 15:53:57.781218,51.2277,6.7735,49,49,1.0,0.0,0.0
Dortmund,dortmund,2024-01-03,2026-01-12 15:53:58.476726,51.5136,7.4653,18,28,1.0,0.3571428571428571,35.71428571428571
Essen,essen,2024-01-03,2026-01-12 15:53:59.132714,51.4556,7.0116,25,34,0.942678,0.2647058823529411,26.470588235294112
Leipzig,leipzig,2024-01-03,2026-01-12 15:53:59.794713,51.3397,12.3731,22,32,1.0,0.3125,31.25
Bremen,bremen,2024-01-03,2026-01-12 15:54:00.498714,53.0793,8.8017,23,23,1.0,0.0,0.0
Dresden,dresden,2024-01-03,2026-01-12 15:54:01.131216,51.0504,13.7373,15,23,0.996895,0.34782608695652173,34.78260869565217
Hanover,hanover,2024-01-03,2026-01-12 15:54:01.781213,52.3759,9.732,24,24,1.0,0.0,0.0
Nuremberg,nuremberg,2024-01-03,2026-01-12 15:54:03.456717,49.4521,11.0767,21,30,1.0,0.30000000000000004,30.000000000000004
Duisburg,duisburg,2024-01-03,2026-01-12 15:54:04.141714,51.4344,6.7623,25,34,1.0,0.2647058823529411,26.470588235294112
Bochum,bochum,2024-01-03,2026-01-12 15:54:04.799272,51.4818,7.2162,11,19,1.0,0.42105263157894735,42.10526315789473
Wuppertal,wuppertal,2024-01-03,2026-01-12 15:54:05.454728,51.2562,7.1508,30,41,1.0,0.2682926829268293,26.82926829268293
Bielefeld,bielefeld,2024-01-03,2026-01-12 15:54:06.131029,52.02,8.5325,18,23,0.996667,0.21739130434782605,21.739130434782606
Bonn,bonn,2024-01-03,2026-01-12 15:54:06.773653,50.7374,7.0982,19,25,0.993273,0.24,24.0
Münster,munster,2024-01-03,2026-01-12 15:54:07.434810,51.9607,7.6261,26,31,1.0,0.16129032258064513,16.129032258064512
Karlsruhe,karlsruhe,2024-01-03,2026-01-12 15:54:08.119331,49.0069,8.4037,20,20,1.0,0.0,0.0
Mannheim,mannheim,2024-01-03,2026-01-12 15:54:08.754633,49.4875,8.466,15,26,0.997283,0.42307692307692313,42.307692307692314
Augsburg,augsburg,2024-01-03,2026-01-12 15:54:09.393494,48.3668,10.8987,23,33,0.999096,0.303030303030303,30.303030303030297
Wiesbaden,wiesbaden,2024-01-03,2026-01-12 15:54:10.078893,50.0782,8.2398,15,24,1.0,0.375,37.5
Gelsenkirchen,gelsenkirchen,2024-01-03,2026-01-12 15:54:10.737634,51.5177,7.0857,26,38,1.0,0.3157894736842105,31.57894736842105
Mönchengladbach,mönchengladbach,2024-01-03,2026-01-12 15:54:11.397777,51.1805,6.4428,21,33,1.0,0.36363636363636365,36.36363636363637
Braunschweig,braunschweig,2024-01-03,2026-01-12 15:54:12.064761,52.2689,10.5268,20,20,1.0,0.0,0.0
Chemnitz,chemnitz,2024-01-03,2026-01-12 15:54:12.748562,50.8278,12.9214,19,25,1.0,0.24,24.0
Kiel,kiel,2024-01-03,2026-01-12 15:54:13.377798,54.3233,10.1394,20,26,0.97,0.23076923076923073,23.076923076923073
Aachen,aachen,2024-01-03,2026-01-12 15:54:14.026800,50.7753,6.0839,13,19,0.946451,0.3157894736842105,31.57894736842105
Halle,halle,2024-01-03,2026-01-12 15:54:14.792800,51.4826,11.9692,14,57,1.0,0.7543859649122807,75.43859649122807
Magdeburg,magdeburg,2024-01-03,2026-01-12 15:54:15.458800,52.1205,11.6276,16,28,0.923476,0.4285714285714286,42.85714285714286
Freiburg,freiburg,2024-01-03,2026-01-12 15:54:16.133800,47.9978,7.8427,29,29,1.0,0.0,0.0
Krefeld,krefeld,2024-01-03,2026-01-12 15:54:16.868800,51.3392,6.5861,17,30,0.996305,0.43333333333333335,43.333333333333336
Lübeck,lübeck,2024-01-03,2026-01-12 15:54:17.580300,53.8655,10.6866,19,27,0.948814,0.2962962962962963,29.629629629629626
Oberhausen,oberhausen,2024-01-03,2026-01-12 15:54:18.283800,51.473,6.8807,28,35,0.940611,0.19999999999999996,19.999999999999996
Erfurt,erfurt,2024-01-03,2026-01-12 15:54:19.008800,50.9848,11.0299,23,34,1.0,0.32352941176470584,32.35294117647059
Mainz,mainz,2024-01-03,2026-01-12 15:54:19.681300,50.0012,8.2763,23,23,1.0,0.0,0.0
Rostock,rostock,2024-01-03,2026-01-12 15:54:20.472597,54.0924,12.0991,39,49,1.0,0.20408163265306123,20.408163265306122
Kassel,kassel,2024-01-03,2026-01-12 15:54:21.141598,51.3127,9.4797,26,34,1.0,0.23529411764705888,23.529411764705888
Hagen,hagen,2024-01-03,2026-01-12 15:54:21.875098,51.3671,7.4633,29,38,0.985164,0.23684210526315785,23.684210526315784
Hamm,hamm,2024-01-03,2026-01-12 15:54:22.566710,51.6739,7.816,18,29,1.0,0.3793103448275862,37.93103448275862
Saarbrücken,saarbrücken,2024-01-03,2026-01-12 15:54:23.218210,49.2402,7.0097,26,35,0.996088,0.2571428571428571,25.71428571428571
Mülheim an der Ruhr,mülheim,2024-01-03,2026-01-12 15:54:23.963709,51.4314,6.8807,33,42,1.0,0.2142857142857143,21.42857142857143
Potsdam,potsdam,2024-01-03,2026-01-12 15:54:24.822711,52.3906,13.0645,15,20,1.0,0.25,25.0
Ludwigshafen,ludwigshafen,2024-01-03,2026-01-12 15:54:25.537210,49.4812,8.4462,13,22,1.0,0.40909090909090906,40.90909090909091
Oldenburg,oldenburg,2024-01-03,2026-01-12 15:54:26.312126,53.1435,8.2146,19,24,1.0,0.20833333333333337,20.833333333333336
Leverkusen,leverkusen,2024-01-03,2026-01-12 15:54:27.174627,51.0303,6.9843,19,30,1.0,0.3666666666666667,36.66666666666667
